Journal,First Publication,Number of Abstracts
Clinical Nutrition,2017,1
Clinical Pediatric Emergency Medicine,2004,19
Clinical Pulmonary Medicine,2016,1
Clinical Radiology,1991,1
Clinical Toxicology,2014,1
Clinical and Experimental Emergency Medicine,2019,1
"Clinics (Sao Paulo, Brazil)",2019,1
Colorectal Disease,2001,1
Computer Methods and Programs in Biomedicine,2017,1
Computers in Biology and Medicine,2018,1
Conference proceedings : ,2019,1
Congenital Heart Disease,2008,1
Connecticut medicine,2016,1
Consultant,2016,1
Contemporary Clinical Trials,2014,1
Contraception,2001,1
Coronary Artery Disease,1993,1
Critical Care,2012,7
Critical Care Medicine,2011,9
Critical Care Nursing Quarterly,2018,1
Critical Care and Shock,2019,1
Critical Ultrasound Journal,2010,67
"Critical care (London, England)",2012,1
Critical care medicine,2018,1
Current Cardiology Reviews,2011,1
Current Medical Research and Opinion,2019,1
Current Opinion in Anaesthesiology,2019,1
Current Problems in Diagnostic Radiology,2015,2
Current Pulmonology Reports,2017,2
Current Respiratory Medicine Reviews,2015,1
Current Sports Medicine Reports,2015,1
Current opinion in critical care,2020,1
Current opinion in pediatrics,2020,1
Delaware medical journal,2007,1
Diagnosis,2019,1
Diagnostics,2018,5
Digestive Diseases and Sciences,2006,2
ED management : the monthly update on emergency department management,2002,1
EMA - Emergency Medicine Australasia,2007,12
Early Human Development,2016,2
"Education for health (Abingdon, England)",2017,1
Egyptian Journal of Chest Diseases and Tuberculosis,2014,1
"Einstein (Sao Paulo, Brazil)",2019,1
Emergency,2016,3
Emergency Medicine,2000,5
Emergency Medicine International,2010,3
Emergency Medicine Journal,2008,21
Emergency Radiology,1996,11
Emergency medicine practice,2011,2
Emergency nurse : the journal of the RCN Accident and Emergency Nursing Association,2017,1
European Heart Journal - Case Reports,2019,1
European Heart Journal Cardiovascular Imaging,2018,1
European Journal of Cancer Care,2009,1
European Journal of Case Reports in Internal Medicine,2018,3
European Journal of Echocardiography,2011,1
European Journal of Emergency Medicine,2008,13
European Journal of Endocrinology,2014,1
European Journal of General Practice,2016,1
European Journal of Heart Failure,2020,1
European Journal of Internal Medicine,2007,3
European Journal of Obstetrics and Gynecology and Reproductive Biology,2015,2
European Journal of Orthopaedic Surgery and Traumatology,2019,1
European Journal of Pediatrics,2019,2
European Radiology,2002,1
European Research Journal,2019,1
European Respiratory Review,2016,1
European journal of emergency medicine : official journal of the European Society for Emergency Medicine,2008,2
European journal of trauma and emergency surgery : official publication of the European Trauma Society,2019,1
Expert Review of Hematology,2018,1
Family Medicine,1998,1
Family medicine,2015,2
Frontiers in Pediatrics,2019,1
Frontiers in Veterinary Science,2019,1
Gefasschirurgie,2018,1
Genome biology,2003,1
Haemophilia,2017,2
Harm Reduction Journal,2012,1
Hawai'i journal of medicine & public health : a journal of Asia Pacific Medicine & Public Health,2014,1
Hawaii medical journal,2010,1
Heart,2016,1
Heart and Lung,2018,1
Hematology (United Kingdom),2019,1
Hemodialysis International,2013,2
Hepato-Gastroenterology,2013,1
High altitude medicine & biology,2019,1
Hong Kong Journal of Emergency Medicine,2004,15
Hospital Pediatrics,2019,1
Human Reproduction,1994,1
ICU Director,2010,3
IEEE transactions on biomedical circuits and systems,2016,1
"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",2019,2
Indian Journal of Anaesthesia,2018,2
Indian Journal of Critical Care Medicine,2018,1
Indian Journal of Pediatrics,2020,2
Indian Pediatrics,2018,2
Infection Control and Hospital Epidemiology,2014,1
Injury,2010,5
Intensive Care Medicine,1996,3
Intensive Care Medicine Experimental,2015,1
Internal Medicine Journal,2014,3
Internal and emergency medicine,2014,11
International Anesthesiology Clinics,2018,1
International Journal of Cardiology,2017,2
International Journal of Clinical and Experimental Medicine,2019,1
International Journal of Computer Assisted Radiology and Surgery,2019,1
International Journal of Emergency Medicine,2009,12
International Journal of Pharmaceutical Research and Allied Sciences,2016,1
International Journal of Psychophysiology,2017,1
International Journal of Surgery Case Reports,2014,4
International Urology and Nephrology,2001,2
International maritime health,2020,1
Interventional Medicine and Applied Science,2013,3
Intractable and Rare Diseases Research,2019,1
Iranian Red Crescent Medical Journal,2015,1
Iranian journal of kidney diseases,2017,1
Irish Medical Journal,2020,1
Israel Medical Association Journal,2013,3
Italian Journal of Medicine,2018,4
JAAPA : official journal of the American Academy of Physician Assistants,2017,3
JACC: Case Reports,2019,2
JAMA - Journal of the American Medical Association,2012,1
JAMA : the journal of the American Medical Association,1976,1
JAMA Cardiology,2018,1
JAMA Network Open,2020,1
JAMA network open,2019,1
JGH Open,2019,2
JPEN,2005,1
Japanese Journal of Surgery,1988,1
Jornal brasileiro de nefrologia : 'orgao oficial de Sociedades Brasileira e Latino-Americana de Nefrologia,2017,1
Journal Europeen des Urgences et de Reanimation,2019,1
Journal for Vascular Ultrasound,2014,2
Journal of Accident and Emergency Medicine,1998,1
Journal of Acute Disease,2016,2
Journal of Anesthesia,2019,1
Journal of Anesthesia and Perioperative Medicine,2018,1
"Journal of Ayub Medical College, Abbottabad : JAMC",2018,1
Journal of Bronchology and Interventional Pulmonology,2019,1
Journal of Burn Care and Rehabilitation,1997,1
Journal of Cancer Research and Therapeutics,2018,1
Journal of Cardiac Failure,2018,1
Journal of Cardiology Cases,2017,1
Journal of Cardiothoracic and Vascular Anesthesia,2018,2
Journal of Clinical Anesthesia,2014,2
Journal of Clinical Medicine,2019,1
Journal of Clinical Monitoring and Computing,2018,3
Journal of Clinical Neonatology,2015,2
Journal of Clinical and Diagnostic Research,2016,4
Journal of Critical Care,2013,11
Journal of Dermatological Treatment,2020,1
Journal of Diagnostic Medical Sonography,2015,3
Journal of Echocardiography,2019,1
"Journal of Emergencies, Trauma and Shock",2013,7
Journal of Emergency Medicine,1997,200
"Journal of Emergency Medicine, Trauma and Acute Care",2008,3
Journal of General Internal Medicine,2017,3
Journal of Gerontology and Geriatrics,2020,1
Journal of Head Trauma Rehabilitation,2017,1
Journal of Hospital Medicine,2012,5
Journal of Intensive Care,2015,2
Journal of Intensive Care Medicine,2018,3
Journal of Maternal-Fetal and Neonatal Medicine,2017,4
"Journal of Medical Devices, Transactions of the ASME",2019,1
Journal of Medical Imaging,2020,1
Journal of Medical Imaging and Health Informatics,2018,1
Journal of Medical Imaging and Radiation Oncology,2018,1
Journal of Medical Ultrasonics,2011,1
Journal of Medical Ultrasound,2002,10
Journal of Midwifery and Women's Health,2015,1
Journal of Minimally Invasive Gynecology,2019,1
Journal of Nippon Medical School,2019,1
Journal of Obstetrics and Gynaecology,1991,1
Journal of Obstetrics and Gynaecology Canada,2015,2
Journal of Palliative Medicine,2008,1
Journal of Parenteral and Enteral Nutrition,2005,3
Journal of Pediatric Nursing,2012,1
Journal of Pediatric Surgery,2017,2
Journal of Pediatric Surgery Case Reports,2018,2
Journal of Pediatric Urology,2019,2
Journal of Pediatrics,2011,3
Journal of Perinatal Medicine,2019,1
Journal of Perinatology,2011,5
Journal of Radiology Nursing,2020,1
Journal of Reproductive Medicine for the Obstetrician and Gynecologist,1995,1
Journal of Small Animal Practice,2018,2
Journal of Surgical Education,2014,7
Journal of Telemedicine and Telecare,2013,1
Journal of Thoracic Disease,2012,2
Journal of Thrombosis and Thrombolysis,2018,1
"Journal of Trauma - Injury, Infection and Critical Care",1997,3
Journal of Trauma and Acute Care Surgery,2014,2
Journal of Ultrasound,2009,17
Journal of Ultrasound in Medicine,1988,5
Journal of Urology,1992,1
Journal of Vascular Access,2014,5
Journal of Vascular Surgery,2018,2
Journal of Vascular Surgery: Venous and Lymphatic Disorders,2020,1
Journal of Veterinary Emergency and Critical Care,2013,3
Journal of Women's Health,2016,1
Journal of acquired immune deficiency syndromes (1999),2020,1
Journal of clinical ultrasound : JCU,2011,12
Journal of critical care,2014,1
Journal of digital imaging,2016,1
Journal of educational evaluation for health professions,2016,1
Journal of foot and ankle research,2018,1
Journal of graduate medical education,2015,5
Journal of hospital medicine,2019,2
Journal of intensive care medicine,2019,1
Journal of interprofessional care,2018,1
Journal of neonatal-perinatal medicine,2020,1
Journal of obstetrics and gynaecology Canada : JOGC ,2015,1
Journal of patient safety,2017,1
Journal of primary health care,2014,3
Journal of special operations medicine : a peer reviewed journal for SOF medical professionals,2010,5
Journal of surgical education,2010,1
Journal of telemedicine and telecare,2015,2
Journal of the American Academy of Nurse Practitioners,2010,1
Journal of the American Association of Nurse Practitioners,2019,1
Journal of the American College of Radiology,2005,6
Journal of the American Heart Association,2018,2
Journal of the American Medical Directors Association,2012,2
Journal of the American Society of Echocardiography,2014,2
Journal of the College of Physicians and Surgeons Pakistan,2016,1
Journal of the Intensive Care Society,2010,5
Journal of the Medical Association of Thailand,2018,2
Journal of the Mississippi State Medical Association,2013,3
Journal of the Royal Army Medical Corps,2010,1
Journal of trauma nursing : the official journal of the Society of Trauma Nurses,2017,1
Journal of ultrasound in medicine : official journal of the American Institute of Ultrasound in Medicine,2010,122
Journal of visualized experiments : JoVE,2018,1
"Journal of wound, ostomy, and continence nursing : official publication of The Wound, Ostomy and Continence Nurses Society",2018,1
Kaohsiung Journal of Medical Sciences,2015,1
Kathmandu University Medical Journal,2016,1
Laryngoscope,2017,1
Liver International,2020,1
Lung,2015,1
Lung India,2017,1
Lymphology,2017,1
MedEdPORTAL : the journal of teaching and learning resources,2018,2
Medical Care,2016,1
Medical Journal of Malaysia,2018,2
Medical Science Monitor,2008,2
Medical Ultrasonography,2013,6
Medical education,2018,1
Medical education online,2016,3
Medical teacher,2012,3
"Medicina (Kaunas, Lithuania)",2019,1
Medicine,2019,1
Medicine (United States),2016,7
Medizinische Klinik - Intensivmedizin und Notfallmedizin,2019,1
Military medicine,2009,10
Minerva anestesiologica,2019,1
Modern Rheumatology,2019,1
Monaldi Archives for Chest Disease,2018,3
Muscle and Nerve,2019,1
Neonatal network : NN,2018,1
Neonatology,2012,3
Netherlands Journal of Critical Care,2019,2
NeuroRehabilitation,1991,1
Neurocritical Care,2009,3
Neuropediatrics,2018,1
New York State Journal of Medicine,1977,1
New Zealand Medical Journal,2003,2
Nurse education in practice,2020,1
Obstetrics and Gynecology,2005,2
Oman Medical Journal,2018,1
Open Access Emergency Medicine,2014,4
Ostomy/wound management,2017,1
PLoS ONE,2016,9
PM and R,2019,1
Paediatric Anaesthesia,2019,1
Pain Practice,2014,1
Pakistan Journal of Medical Sciences,2016,1
Pan African Medical Journal,2018,1
Pediatric Annals,2020,1
Pediatric Critical Care Medicine,2011,8
Pediatric Emergency Care,1988,63
Pediatric Nephrology,1996,1
Pediatric Neurosurgery,2015,1
Pediatric Pulmonology,2018,1
Pediatric Radiology,2015,3
Pediatric Surgery International,2015,1
Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies,2020,1
Pediatric emergency care,2010,21
Pediatric emergency medicine practice,2016,2
Pediatric endocrinology reviews : PER,2018,1
Pediatrics,1984,8
Perfusion (United Kingdom),2017,1
Perspectives in biology and medicine,2019,1
Postgraduate Medical Journal,2018,1
Practical neurology,2017,1
Prehospital and disaster medicine,2014,4
Prehospital and disaster medicine : the official journal of the National Association of EMS Physicians and the World Association for Emergency and Disaster Medicine in association with the Acute Care Foundation,2009,1
Prehospital emergency care : official journal of the National Association of EMS Physicians and the National Association of State EMS Directors,2020,1
Proceedings of Singapore Healthcare,2013,2
Radiology,2000,1
Radiology Case Reports,2015,2
Regional Anesthesia and Pain Medicine,2019,3
Regional anesthesia and pain medicine,2019,1
Research in Cardiovascular Medicine,2018,1
Respiration,2009,2
Respiratory Care,2012,3
Respiratory Medicine Case Reports,2019,1
Respiratory care,2020,1
Respirology,2013,1
Resuscitation,2008,13
Revista Clinica Espanola,2018,2
Revista Colombiana de Anestesiologia,2017,1
Revista Mexicana de Anestesiologia,2018,1
Revista do Colegio Brasileiro de Cirurgioes,2018,1
Revue de Medecine Interne,2019,1
Rhode Island medical journal (2013),2014,1
Rural and remote health,2019,1
SAGE Open Medical Case Reports,2019,2
Saudi Journal of Anaesthesia,2018,3
Scandinavian journal of primary health care,2017,2
"Scandinavian journal of trauma, resuscitation and emergency medicine",2009,3
Scottish Medical Journal,2016,1
Seminars in Fetal and Neonatal Medicine,2011,1
Seminars in Respiratory and Critical Care Medicine,2015,2
"Seminars in Ultrasound, CT and MRI",2018,1
"Sensors (Basel, Switzerland)",2017,1
"Shock (Augusta, Ga",2019,1
Signa Vitae,2019,1
Simulation in healthcare : journal of the Society for Simulation in Healthcare,2014,2
South African Medical Journal,2018,1
Southern Medical Journal,1980,7
Spine,2012,1
Sri Lankan Journal of Anaesthesiology,2018,1
Sultan Qaboos University medical journal,2018,1
"Surgical Laparoscopy, Endoscopy and Percutaneous Techniques",2019,1
Teaching and learning in medicine,2007,4
Technology and Disability,2002,1
The American journal of emergency medicine,2011,6
The Australian journal of rural health,2018,1
The Journal of craniofacial surgery,2019,1
The Journal of the Association of Physicians of India,2018,1
The Journal of trauma,2007,1
The Medical journal of Malaysia,2019,1
The New Zealand medical journal,1999,1
The Pediatric infectious disease journal,2018,1
The clinical teacher,2018,1
The journal of physician assistant education : the official journal of the Physician Assistant Education Association,2017,3
The western journal of emergency medicine,2014,8
Transactions of the Royal Society of Tropical Medicine and Hygiene,2020,1
Trauma (United Kingdom),2015,3
Trauma Monthly,2019,2
Travel Medicine and Infectious Disease,2018,1
Trials,2020,1
Tropical Medicine and International Health,2015,4
Tropical medicine & international health : TM & IH,2019,1
Tumori,2018,1
Turkish Journal of Emergency Medicine,2016,6
Turkish Journal of Medical Sciences,2017,1
Turkiye Klinikleri Jinekoloji Obstetrik,2015,1
Ulster Medical Journal,2020,1
"Ultraschall in der Medizin (Stuttgart, Germany : 1980)",2012,2
Ultrasonography,2015,1
Ultrasound,2013,10
Ultrasound Clinics,2012,7
Ultrasound Journal,2019,15
Ultrasound Quarterly,2017,2
Ultrasound in Medicine and Biology,2010,14
Ultrasound in Obstetrics and Gynecology,1998,1
"Undersea & hyperbaric medicine : journal of the Undersea and Hyperbaric Medical Society, Inc",2018,2
Veterinary Journal,2019,1
Veterinary Record Case Reports,2019,1
Western Journal of Emergency Medicine,2013,60
Wilderness & environmental medicine,2012,2
Wilderness and Environmental Medicine,2005,1
World Journal of Emergency Medicine,2014,17
World Journal of Gastroenterology,2004,2
World Neurosurgery,2016,1
World journal of emergency surgery : WJES,2019,1
World journal of surgery,2016,2
