Topic Number,Contribution,Topic Keywords,Best Document,Document Tokens,Raw Text
11,0.9863,"review, eps, medicine, article, report, ep, quality, publish, search, journal",1924,"['blog_podcast_watch', 'cutaneous', 'emergency', 'introduction', 'westjem_blog_podcast_watch', 'present', 'high', 'quality', 'open', 'access', 'educational', 'blog_podcast', 'emergency', 'medicine', 'base', 'ongoing', 'academic', 'life', 'emergency', 'medicine', 'aliem', 'approve_instructional_resource', 'air', 'air', 'professional', 'series', 'series', 'critically_appraise', 'resource', 'use', 'objective', 'score', 'rubric', 'installment', 'blog_podcast_watch', 'highlight', 'topic', 'cutaneous', 'emergency', 'air', 'series', 'method', 'air', 'series', 'continuously', 'build', 'curriculum', 'follow', 'council', 'emergency', 'medicine', 'residency_director_cord', 'annual', 'testing', 'schedule', 'module', 'relevant', 'content', 'collect', 'top', 'access', 'site', 'social_medium', 'index', 'publish', 'previous', 'month', 'score', 'board', 'member', 'use', 'equally', 'weight', 'measurement', 'outcome', 'good', 'evidence', 'emergency', 'medicine', 'beem', 'score', 'accuracy', 'educational', 'utility', 'evidence', 'base', 'reference', 'resource', 'score', 'available', 'point', 'receive', 'air', 'label', 'resource', 'score', 'receive', 'honorable_mention', 'label', 'editorial_board', 'agree', 'accurate', 'educationally', 'valuable', 'result', 'total', 'blog_post', 'podcast', 'evaluate', 'none', 'score', 'point', 'necessary', 'air', 'label', 'honorable_mention', 'post', 'identify', 'key', 'educational', 'pearl', 'honorable_mention', 'post', 'summarize', 'conclusion', 'blog_podcast_watch', 'series', 'base', 'air', 'air_pro_series', 'attempt', 'identify', 'high', 'quality', 'educational', 'content', 'open', 'access', 'blog_podcast', 'series', 'provide', 'expert', 'base', 'post', 'publication', 'curation', 'educational', 'social_medium', 'content', 'clinician', 'installment', 'focus', 'cutaneous', 'emergency']","Blog and Podcast Watch: Cutaneous Emergencies. INTRODUCTION: The WestJEM Blog and Podcast Watch presents high quality open-access educational blogs and podcasts in emergency medicine (EM) based on the ongoing Academic Life in Emergency Medicine (ALiEM) Approved Instructional Resources (AIR) and AIR-Professional series. Both series critically appraise resources using an objective scoring rubric. This installment of the Blog and Podcast Watch highlights the topic of cutaneous emergencies from the AIR series.

METHODS: The AIR series is a continuously building curriculum that follows the Council of Emergency Medicine Residency Directors (CORD) annual testing schedule. For each module, relevant content is collected from the top 50 most accessed sites per the Social Media Index published within the previous 12 months and scored by eight board members using five equally weighted measurement outcomes: Best Evidence in Emergency Medicine (BEEM) score, accuracy, educational utility, evidence based, and references. Resources scoring >=30 out of 35 available points receive an AIR label. Resources scoring 27-29 receive an ""honorable mention"" label, if the editorial board agrees that the post is accurate and educationally valuable.

RESULTS: A total of 35 blog posts and podcasts were evaluated. None scored >=30 points necessary for the AIR label, although four honorable mention posts were identified. Key educational pearls from these honorable mention posts are summarized.

CONCLUSION: This Blog and Podcast Watch series is based on the AIR and AIR-Pro series, which attempts to identify high quality educational content on open-access blogs and podcasts. This series provides an expert-based, post-publication curation of educational social media content for EM clinicians with this installment focusing on cutaneous emergencies."
12,0.6081,"child, pediatric, age, young, month, infant, parent, ped, aged, adult",1899,"['child', 'present', 'complex', 'febrile_seizure', 'need', 'lumbar_puncture', 'study', 'objective', 'assess', 'prevalence', 'bacterial_meningitis', 'herpes', 'simplex', 'virus', 'meningoencephalitis', 'hsv', 'child', 'complex', 'febrile_seizure', 'determine', 'prevalence', 'subgroup', 'child', 'clinical', 'examination', 'result', 'suggestive', 'meningitis_encephalitis', 'method', 'multicenter', 'retrospective', 'study', 'conduct', 'pediatric', 'emergency', 'department', 'eds', 'region', 'paris', 'france', 'visit', 'patient', 'aged', 'month', 'year', 'complex', 'febrile_seizure', 'january_december', 'analyze', 'define', 'subgroup', 'patient', 'clinical', 'examination', 'result', 'suggestive', 'meningitis_encephalitis', 'bacterial_meningitis', 'hsv', 'sequentially', 'seek', 'analyze', 'bacteriologic', 'viral', 'datum', 'visit', 'look', 'datum', 'second', 'visit', 'hospital', 'index', 'visit', 'telephone', 'child', 'parent', 'result', 'total', 'visit', 'pediatric', 'eds', 'patient', 'present', 'complex', 'febrile_seizure', 'lumbar_puncture', 'outcome', 'bacterial_meningitis', 'hsv', 'ascertainable', 'visit', 'respectively', 'find', 'case', 'bacterial_meningitis', 'confidence_interval', 'ci', 'ci', 'visit', 'child', 'clinical', 'examination', 'result', 'suggest', 'meningitis_encephalitis', 'find', 'bacterial_meningitis', 'ci', 'hsv', 'ci', 'conclusion', 'child', 'complex', 'febrile_seizure', 'bacterial_meningitis', 'hsv', 'unexpected', 'event', 'clinical', 'examination', 'complex', 'febrile_seizure', 'suggestive', 'meningitis_encephalitis', 'american_college', 'emergency', 'physician', 'publish', 'inc_right_reserve']","Do All Children Who Present With a Complex Febrile Seizure Need a Lumbar Puncture?. STUDY OBJECTIVE: We assess the prevalences of bacterial meningitis and herpes simplex virus meningoencephalitis (HSV-ME) in children with a complex febrile seizure and determine these prevalences in the subgroup of children with a clinical examination result not suggestive of meningitis or encephalitis.

METHODS: This multicenter retrospective study was conducted in 7 pediatric emergency departments (EDs) in the region of Paris, France. Visits of patients aged 6 months to 5 years for a complex febrile seizure from January 2007 to December 2011 were analyzed. We defined a subgroup of patients whose clinical examination result was not suggestive of meningitis or encephalitis. Bacterial meningitis and HSV-ME were sequentially sought for by analyzing bacteriologic and viral data at the visit, looking for data from a second visit to the hospital after the index visit, and telephoning the child's parents.

RESULTS: From a total of 1,183,487 visits in the 7 pediatric EDs, 839 patients presented for a complex febrile seizure, of whom 260 (31.0%) had a lumbar puncture. The outcomes bacterial meningitis and HSV-ME were ascertainable for 715 (85%) and 657 (78.3%) visits, respectively, and we found 5 cases of bacterial meningitis (0.7% [95% confidence interval [CI] 0.2% to 1.6%]) and no HSV-ME (0% [95% CI 0% to 0.6%]). Among the 630 visits of children with a clinical examination result not suggesting meningitis or encephalitis, we found no bacterial meningitis (0% [95% CI 0% to 0.7%]) and no HSV-ME (0% [95% CI 0% to 0.8%]).

CONCLUSION: In children with a complex febrile seizure, bacterial meningitis and HSV-ME are unexpected events when the clinical examination after complex febrile seizure is not suggestive of meningitis or encephalitis.
Copyright © 2016 American College of Emergency Physicians. Published by Elsevier Inc. All rights reserved."
13,0.8651,"level, serum, blood, concentration, sample, acute, laboratory, glucose, mg_dl, plasma",13972,"['serum', 'lactate', 'necessary', 'patient', 'normal', 'anion_gap', 'serum', 'bicarbonate', 'introduction', 'increase', 'patient', 'serum', 'lactate', 'draw', 'emergency', 'situation', 'objective', 'study', 'determine', 'necessary', 'obtain', 'lactate', 'level', 'patient', 'normal', 'serum', 'bicarbonate', 'level', 'anion_gap', 'method', 'retrospective', 'chart', 'review', 'evaluation', 'patient', 'serum', 'lactate', 'electrolyte', 'measure', 'emergency', 'setting', 'academic', 'medical', 'center', 'result', 'patient', 'elevated', 'serum', 'lactate', 'mmol', 'patient', 'normal', 'serum', 'bicarbonate', 'sb', 'great', 'mmol', 'normal', 'anion_gap', 'normal', 'range', 'meq', 'find', 'patient', 'conclusion', 'find', 'patient', 'elevated', 'serum', 'lactate', 'normal', 'anion_gap', 'normal', 'serum', 'bicarbonate', 'conclude', 'serum', 'lactate', 'draw', 'base', 'clinical', 'suspicion', 'anaerobic', 'tissue', 'metabolism', 'independent', 'serum', 'bicarbonate', 'anion_gap', 'value']","Is serum lactate necessary in patients with normal anion gap and serum bicarbonate?. INTRODUCTION: There has been an increase in patients having serum lactate drawn in emergency situations. The objective of this study was to determine whether or not it was necessary to obtain a lactate level in patients with a normal serum bicarbonate level and anion gap.

METHODS: This is a retrospective chart review evaluation of 304 patients who had serum lactate and electrolytes measured in an emergency setting in one academic medical center.

RESULTS: In 66 patients who had elevated serum lactate (>2.2mmol/L), 45 (68%) patients had normal serum bicarbonate (SB) (greater than 21 mmol/L). Normal anion gap (AG) (normal range <16 mEq/l) was found in 51 of the 66 patients (77%).

CONCLUSION: We found that among patients with elevated serum lactate, 77% had a normal anion gap and 68% had normal serum bicarbonate. We conclude serum lactate should be drawn based on clinical suspicion of anaerobic tissue metabolism independent of serum bicarbonate or anion gap values."
14,0.8905,"pressure, blood, arterial, mm_hg, change, oxygen, respiratory, increase, measurement, gas",7222,"['aortic', 'blood', 'flow', 'sequential', 'mast', 'inflation', 'cardiac_output', 'pulse', 'rate', 'blood', 'pressure', 'distal', 'abdominal', 'aortic', 'blood', 'flow', 'measure', 'healthy_volunteer', 'sequential', 'inflation', 'medical', 'antishock_trouser', 'full', 'inflation', 'compartment', 'decrease', 'distal', 'aortic', 'blood', 'flow', 'quarter', 'less', 'increase', 'blood', 'pressure', 'less', 'effect', 'cardiac_output', 'pulse', 'rate', 'inflation', 'low', 'pressure', 'markedly', 'less', 'effective']","Aortic blood flow during sequential MAST inflation. Cardiac output, pulse rate, blood pressure, and distal abdominal aortic blood flow were measured in ten healthy volunteers during sequential inflation of medical antishock trousers. Full inflation of all three compartments decreased distal aortic blood flow by three quarters (P less than .001) and increased blood pressure by 10% (P less than .001), but had no effect on cardiac output or pulse rate. Inflation to lower pressures was markedly less effective."
15,0.9522,"degree, temperature, fluid, hypothermia, water, ml, body, cooling, air, heat",11490,"['augmentation', 'cooling', 'capacity', 'refrigerate', 'fluid', 'minimize', 'heat', 'gain', 'fluid', 'use', 'simple', 'method', 'cold', 'insulation', 'objective', 'study', 'undertake', 'determine', 'rapidly', 'refrigerate', 'fluid', 'gain', 'heat', 'bolus', 'infusion', 'determine', 'refrigerate', 'fluid', 'keep', 'cold', 'simple', 'cold', 'insulation', 'method', 'method', 'liter', 'refrigerated', 'fluid', 'run', 'gauge_catheter', 'group', 'gauge_catheter', 'group', 'monitor', 'temperature', 'fluid', 'bag', 'outflow', 'site', 'group', 'fluid', 'bag', 'place', 'ice_pack', 'insulating', 'sleeve', 'fluid', 'run', 'result', 'group', 'outflow', 'temperature', 'increase', 'degree', 'fluid', 'run', 'meanwhile', 'outflow', 'temperature', 'group', 'remain', 'degree', 'respectively', 'temperature', 'differ', 'significantly', 'group', 'group', 'respectively', 'conclusion', 'substantial', 'heat', 'gain', 'occur', 'refrigerate', 'fluid', 'even', 'relatively', 'short', 'duration', 'bolus', 'infusion', 'heat', 'gain', 'however', 'easily', 'minimize', 'cold', 'insulation', 'fluid', 'bag', 'society_academic', 'emergency', 'medicine']","Augmentation of the cooling capacity of refrigerated fluid by minimizing heat gain of the fluid using a simple method of cold insulation. OBJECTIVES: This study was undertaken to determine how rapidly refrigerated fluids gain heat during bolus infusion and to determine whether the refrigerated fluids could be kept cold by a simple cold-insulation method.

METHODS: One liter of refrigerated fluid was run through either a 16-gauge catheter (16G(-) and 16G(+) groups) or an 18-gauge catheter (18G(-) and 18G(+) groups) while monitoring the temperature in the fluid bag and the outflow site. In the 16G(+) and the 18G(+) groups, the fluid bag was placed with an ice pack inside an insulating sleeve during the fluid run.

RESULTS: In the 16G(-) and the 18G(-) groups, the outflow temperature increased to 10-12 degrees C during the fluid run. Meanwhile, outflow temperatures in the 16G(+) and the 18G(+) groups remained below 4.6 and 6.8 degrees C, respectively. The temperatures differed significantly between the 16G(-) and the 16G(+) groups (p < 0.001) and between the 18G(-) and the 18G(+) groups (p < 0.001), respectively.

CONCLUSIONS: Substantial heat gain occurred in the refrigerated fluid even during the relatively short duration of bolus infusion. The heat gain could, however, be easily minimized by cold insulation of the fluid bag.
Copyright (c) 2010 by the Society for Academic Emergency Medicine."
16,0.953,"injury, related, victim, age, crash, death, case, driver, report, male",1440,"['stair', 'related', 'injury', 'treat', 'united_state', 'emergency', 'department', 'objective', 'investigate', 'characteristic', 'stair', 'related', 'injury', 'individual', 'age', 'estimate', 'national', 'injury', 'frequency', 'rate', 'use', 'representative', 'sample', 'patient', 'treat', 'united_state', 'emergency', 'department', 'method', 'datum', 'national', 'electronic', 'injury', 'surveillance', 'system', 'analyze', 'patient', 'treat', 'stair', 'related', 'injury', 'unite_state', 'emergency', 'department', 'result', 'estimate', 'patient', 'treat', 'emergency', 'department', 'stair', 'related', 'injury', 'year', 'study', 'period', 'average', 'patient', 'annually', 'injurie', 'united_state', 'resident', 'annual', 'rate', 'stair', 'related', 'injury', 'decrease', 'follow', 'increase', 'high', 'injury', 'rate', 'occur', 'young', 'child', 'old', 'adult', 'majority', 'emergency', 'department', 'visit', 'stair', 'related', 'injury', 'individual', 'year', 'old', 'patient', 'female', 'also', 'high', 'injury', 'rate', 'male', 'sprain_strain', 'soft_tissue', 'injury', 'fracture', 'common', 'type', 'injury', 'body', 'region', 'frequently', 'injure', 'low', 'extremity', 'head', 'neck', 'patient', 'year', 'old', 'experience', 'head', 'neck', 'injury', 'old', 'adult', 'patient', 'frequently', 'sustained', 'fracture', 'young', 'age', 'group', 'conclusion', 'stair', 'common', 'source', 'injury', 'individual', 'age', 'frequency', 'rate', 'stair', 'related', 'injury', 'increase', 'underscore', 'need', 'increase', 'prevention', 'effort', 'particularly', 'related', 'stair', 'design', 'construction', 'inc_right_reserve']","Stair-related injuries treated in United States emergency departments. OBJECTIVE: To investigate the characteristics of stair-related injuries among individuals of all ages and estimate national injury frequencies and rates using a representative sample of patients treated in United States emergency departments.

METHODS: Data from the National Electronic Injury Surveillance System were analyzed for patients treated for stair-related injuries in United States emergency departments from 1990 through 2012.

RESULTS: An estimated 24,760,843 patients were treated in emergency departments for a stair-related injury during the 23-year study period, averaging 1,076,558 patients annually, or 37.8 injuries per 10,000 United States residents. The annual rate of stair-related injuries decreased by 12.6% (p<0.001) during 1990-1996, followed by an increase of 24.0% (p<0.001) during 1996-2012. Although the highest injury rates occurred among younger children and older adults, the majority (67.2%) of emergency department visits for stair-related injuries was by individuals 11-60years old. Most patients were female (62.4%), who also had a higher injury rate (46.5 vs. 29.1 per 10,000) than males. Sprains and strains (32.3%), soft tissue injuries (23.8%), and fractures (19.3%) were the most common types of injury. The body regions most frequently injured were the lower extremities (42.1%) and head/neck (21.6%). Patients <=10years old experienced more head/neck injuries. Older adult patients more frequently sustained fractures than younger age groups.

CONCLUSIONS: Stairs are a common source of injury among individuals of all ages and the frequency and rate of stair-related injuries are increasing. This underscores the need for increased prevention efforts, particularly those related to stair design and construction.
Copyright © 2017 Elsevier Inc. All rights reserved."
17,0.9574,"cost, health, system, service, disaster, event, provide, public, facility, model",6220,"['hospital', 'merger', 'legal', 'personal', 'implication', 'emergency', 'physician', 'east', 'central', 'illinois', 'last', 'year', 'hospital', 'author', 'contract', 'emergency', 'physician', 'various', 'stage', 'merger', 'nearby', 'hospital', 'hospital', 'merge', 'medical', 'center', 'basis', 'experience', 'share', 'emergency', 'physician', 'consolidation', 'health', 'care', 'facility', 'seem', 'wave', 'future', 'due', 'financial', 'constraint', 'health', 'care', 'setting', 'lesson_learn', 'experience', 'involve', 'many', 'issue', 'include', 'work', 'contract', 'malpractice', 'insurance', 'payment', 'physician', 'nurse', 'staff', 'public', 'information', 'problem']","Hospital mergers: legal and personal implications for emergency physicians. In east central Illinois over the last three years, three hospitals in which the authors were contracted as emergency physicians have been in various stages of merger with nearby hospitals. In all, six hospitals will be merged into three ""medical centers."" This is a basis of experience to be shared with other emergency physicians, as consolidation of health care facilities seems to be a wave of the future due to financial constraints of the health care setting. Lessons to be learned from these experiences involve many issues, including work contract, malpractice insurance payment, physician and nurse staffing, and public information problems."
18,0.9867,"visit, increase, ed, utilization, health, population, prescription, national, related, number",12737,"['freestande', 'emergency', 'department', 'choose', 'locate', 'national', 'inventory', 'geographic', 'analysis', 'state', 'study', 'objective', 'determine', 'number', 'location', 'freestande', 'emergency', 'department', 'ed', 'united_state', 'determine', 'population', 'characteristic', 'area', 'freestande', 'eds', 'located', 'method', 'conduct', 'systematic', 'inventory', 'freestande', 'state', 'high', 'number', 'freestande', 'ed', 'link', 'demographic', 'insurance', 'health', 'service', 'datum', 'use', 'digit', 'zip_code', 'correspond', 'freestande', 'location', 'create', 'comparison', 'nonfreestanding', 'group', 'match', 'freestande', 'eds', 'nonfreestanding', 'ed', 'zip_code', 'land', 'population', 'state', 'compare', 'difference', 'demographic', 'insurance', 'health', 'service', 'factor', 'match', 'zip_code', 'freestande', 'ed', 'use', 'univariate', 'regression', 'weight', 'result', 'identify', 'freestande', 'eds', 'located', 'state', 'freestande', 'hospital', 'satellite', 'independent', 'classifiable', 'state', 'high', 'number', 'freestande', 'account', 'freestande', 'texa', 'ohio', 'colorado', 'state', 'freestande', 'eds', 'located', 'zip_code', 'high', 'income', 'low', 'proportion', 'population', 'medicaid', 'texas', 'ohio', 'freestande', 'eds', 'located', 'zip_code', 'high', 'proportion', 'population', 'private_insurance', 'texa', 'freestande', 'located', 'zip_code', 'few', 'hispanic', 'great', 'number', 'hospital', 'base', 'eds', 'physician', 'office', 'physician', 'visit', 'medical', 'spending', 'year', 'zip_code', 'freestande', 'ed', 'freestande', 'eds', 'located', 'zip_code', 'few', 'hospital', 'base', 'conclusion', 'texa', 'ohio', 'colorado', 'freestande', 'eds', 'located', 'area', 'well', 'payer', 'mix', 'location', 'freestande', 'eds', 'relation', 'health', 'care', 'facility', 'use', 'spend', 'health', 'care', 'vary', 'state', 'american_college', 'emergency', 'physician', 'publish', 'inc_right_reserve']","Where Do Freestanding Emergency Departments Choose to Locate? A National Inventory and Geographic Analysis in Three States. STUDY OBJECTIVE: We determine the number and location of freestanding emergency departments (EDs) across the United States and determine the population characteristics of areas where freestanding EDs are located.

METHODS: We conducted a systematic inventory of US freestanding EDs. For the 3 states with the highest number of freestanding EDs, we linked demographic, insurance, and health services data, using the 5-digit ZIP code corresponding to the freestanding ED's location. To create a comparison nonfreestanding ED group, we matched 187 freestanding EDs to 1,048 nonfreestanding ED ZIP codes on land and population within state. We compared differences in demographic, insurance, and health services factors between matched ZIP codes with and without freestanding EDs, using univariate regressions with weights.

RESULTS: We identified 360 freestanding EDs located in 30 states; 54.2% of freestanding EDs were hospital satellites, 36.6% were independent, and 9.2% were not classifiable. The 3 states with the highest number of freestanding EDs accounted for 66% of all freestanding EDs: Texas (181), Ohio (34), and Colorado (24). Across all 3 states, freestanding EDs were located in ZIP codes that had higher incomes and a lower proportion of the population with Medicaid. In Texas and Ohio, freestanding EDs were located in ZIP codes with a higher proportion of the population with private insurance. In Texas, freestanding EDs were located in ZIP codes that had fewer Hispanics, had a greater number of hospital-based EDs and physician offices, and had more physician visits and medical spending per year than ZIP codes without a freestanding ED. In Ohio, freestanding EDs were located in ZIP codes with fewer hospital-based EDs.

CONCLUSION: In Texas, Ohio, and Colorado, freestanding EDs were located in areas with a better payer mix. The location of freestanding EDs in relation to other health care facilities and use and spending on health care varied between states.
Copyright © 2016 American College of Emergency Physicians. Published by Elsevier Inc. All rights reserved."
19,0.9856,"compression, cpr, chest, device, perform, minute, ventilation, technique, hand, standard",8637,"['push', 'fast', 'recommendation', 'perform', 'cpr', 'cause', 'excessive', 'chest', 'compression', 'rate', 'manikin', 'model', 'background', 'increase', 'chest', 'compression', 'rate', 'cardiopulmonary_resuscitation', 'affect', 'workload', 'ultimately', 'quality', 'chest', 'compression', 'study', 'examine', 'effect', 'compression', 'rate', 'fast', 'cardiopulmonary_resuscitation_cpr', 'performance', 'method', 'crossover', 'randomized', 'order', 'design', 'use', 'participant', 'perform', 'chest', 'compression', 'ventilation', 'manikin', 'compression', 'rate', 'minute', 'cpm', 'push', 'fast', 'pf', 'participant', 'perform', 'chest', 'compression', 'rate', 'cpm', 'pf', 'subsequently', 'switch', 'minute', 'rest', 'result', 'cpr', 'qualify', 'nonprofessional', 'voluntarily', 'participate', 'study', 'session', 'rescuer', 'perform', 'cpr', 'high', 'compression', 'rate', 'cpm', 'compression', 'minute', 'duty_cycle', 'low', 'percentage', 'effective', 'compression', 'low', 'compression', 'depth', 'mm', 'cpm', 'session', 'cpr', 'quality', 'deteriorate', 'number', 'percentile', 'effective', 'compression', 'third', 'minute', 'pf', 'session', 'fourth', 'minute', 'cpm', 'session', 'percentile', 'compression', 'adequate', 'depth', 'cpm', 'session', 'high', 'pf', 'session', 'second', 'third', 'fourth', 'minute', 'cpr', 'conclusion', 'push', 'fast', 'technique', 'show', 'significant', 'decrease', 'percentile', 'effective', 'chest', 'compression', 'compared', 'cpm', 'technique', 'minute', 'hand', 'cpr', 'pf', 'technique', 'exhibit', 'trend', 'increase', 'fatigue', 'rescuer', 'result', 'early', 'decay', 'cpr', 'quality', 'inc_right_reserve']","Push-fast recommendation on performing CPR causes excessive chest compression rates, a manikin model. BACKGROUND: Increasing chest compression rate during cardiopulmonary resuscitation can affect the workload and, ultimately, the quality of chest compression. This study examines the effects of compression at the rate of as-fast-as-you-can on cardiopulmonary resuscitation (CPR) performance.

METHODS: A crossover, randomized-to-order design was used. Each participant performed chest compressions without ventilation on a manikin with 2 compression rates: 100 per minute (100-cpm) and ""push as-fast-as you-can"" (PF). The participants performed chest compressions at a rate of either 100-cpm or PF and subsequently switched to the other after a 50-minute rest.

RESULTS: Forty-two CPR-qualified nonprofessionals voluntarily participated in the study. During the PF session, the rescuers performed CPR with higher compression rates (156.8 vs 101.6 cpm), more compressions (787.2 vs 510.8 per 5 minutes), and more duty cycles (51.0% vs 41.7%), but a lower percentage of effective compressions (47.7% vs 57.9%) and a lower compression depth (35.6 vs 38.0 mm) than they did during the 100-cpm session. The CPR quality deteriorated in numbers and percentile of effective compression since the third minute in the PF session and the fourth minute in the 100-cpm session. The percentile of compressions with adequate depth in the 100-cpm sessions was higher than that in the PF sessions during the second, third, and fourth minutes of CPR.

CONCLUSION: Push-fast technique showed a significant decrease in the percentile of effective chest compression compared with the 100-cpm technique during the 5-minute hand-only CPR. The PF technique exhibited a trend toward increased fatigue in the rescuers, which can result in early decay of CPR quality.
Copyright © 2014 Elsevier Inc. All rights reserved."
20,0.9852,"ultrasound, ci, appendicitis, diagnosis, diagnostic, perform, positive, test, pe, accuracy",2889,"['utility', 'low', 'extremity', 'venous', 'ultrasound', 'scanning', 'diagnosis', 'exclusion', 'pulmonary_embolism', 'outpatient', 'study', 'objective', 'emergency', 'physician', 'frequently', 'rely', 'normal', 'finding', 'low', 'extremity', 'venous', 'ultrasound', 'examination', 'method', 'decrease', 'probability', 'pulmonary_embolism_pe', 'outpatient', 'nondiagnostic', 'ventilation', 'perfusion', 'lung', 'scan', 'scan', 'objective', 'study', 'evaluate', 'diagnostic', 'utility', 'bilateral', 'low', 'extremity', 'venous', 'ultrasound', 'scanning', 'diagnosis', 'pe', 'emergency', 'department', 'patient', 'low', 'moderate', 'indeterminate', 'probability', 'nondiagnostic', 'scan', 'method', 'prospective', 'center', 'descriptive', 'study', 'conduct', 'large', 'teach', 'hospital', 'initial', 'cohort', 'nonreferred', 'outpatient', 'convenience_sample', 'patient', 'nondiagnostic', 'scan', 'low', 'extremity', 'venous', 'ultrasound', 'scan', 'perform', 'select', 'study', 'population', 'sensitivity_specificity', 'single', 'low', 'extremity', 'venous', 'ultrasound', 'scan', 'posttest_probability', 'pe', 'determined', 'study', 'population', 'result', 'study', 'population', 'good', 'case', 'sensitivity', 'low', 'extremity', 'venous', 'ultrasound', 'scan', 'pe', 'confidence_interval', 'ci', 'specificity', 'ci', 'likelihood_ratio', 'positive', 'test', 'result', 'likelihood_ratio', 'negative', 'test', 'result', 'yield', 'low', 'possible', 'posttest_probability', 'pe', 'ci', 'conclusion', 'study', 'demonstrate', 'combination', 'nondiagnostic', 'low', 'moderate', 'indeterminate', 'scan', 'single', 'negative', 'result', 'low', 'extremity', 'venous', 'ultrasound', 'examination', 'even', 'good', 'case', 'scenario', 'exclude', 'diagnosis', 'pe']","Utility of lower extremity venous ultrasound scanning in the diagnosis and exclusion of pulmonary embolism in outpatients. STUDY OBJECTIVE: Emergency physicians frequently rely on normal findings from a lower extremity venous ultrasound examination as a method to decrease the probability of pulmonary embolism (PE) in outpatients with a nondiagnostic ventilation-perfusion lung scan (V/Q scan). The objective of this study was to evaluate the diagnostic utility of bilateral lower extremity venous ultrasound scanning in the diagnosis of PE in emergency department patients with a low-, moderate-, or indeterminate-probability (nondiagnostic) V/Q scan.

METHODS: This prospective, 2-center, descriptive study was conducted at the EDs of 2 large teaching hospitals. From an initial cohort of 570 nonreferred outpatients, a convenience sample of 156 patients who had both a nondiagnostic V/Q scan and a lower extremity venous ultrasound scan performed was selected as the study population. The sensitivity and specificity for a single lower extremity venous ultrasound scan and the posttest probability of PE were determined for the study population.

RESULTS: In the study population, the best-case sensitivity of the lower extremity venous ultrasound scan for PE was 54% (95% confidence interval [CI] 37% to 71%) and the specificity was 98% (95% CI 94% to 100%). The likelihood ratio of a positive test result was 27. The likelihood ratio of a negative test result was 0.49, yielding a lowest possible posttest probability of PE of 12% (95% CI 6% to 17%).

CONCLUSION: This study demonstrates that the combination of a nondiagnostic (low, moderate, or indeterminate) V/Q scan plus a single negative result from lower extremity venous ultrasound examination, even in a best-case scenario, does not exclude the diagnosis of PE."
21,0.9629,"sedation, ketamine, receive, midazolam, adverse_event, propofol, procedure, minute, dose, procedural_sedation",14364,"['randomize_double_blinded', 'clinical', 'trial', 'propofol', 'propofol', 'ketamine', 'propofol', 'ketamine', 'deep', 'procedural_sedation', 'emergency', 'department', 'study', 'objective', 'compare', 'frequency', 'airway', 'respiratory', 'adverse_event', 'lead', 'intervention', 'propofol', 'mixture', 'propofol', 'ketamine', 'ketofol', 'method', 'perform', 'randomize_double_blinded', 'trial', 'emergency', 'department', 'adult', 'undergo', 'deep_sedation', 'receive', 'propofol', 'propofol', 'ketamine', 'propofol', 'ketamine', 'primary', 'outcome', 'frequency', 'airway', 'respiratory', 'adverse_event', 'lead', 'intervention', 'outcome', 'include', 'sedation', 'depth', 'efficacy', 'procedure', 'recovery', 'time', 'patient', 'satisfaction', 'pain', 'procedural', 'recall', 'result', 'subject', 'complete', 'trial', 'receive', 'propofol', 'receive', 'propofol', 'ketamine', 'receive', 'propofol', 'ketamine', 'airway', 'respiratory', 'adverse_event', 'lead', 'intervention', 'similar', 'group', 'respectively', 'serious', 'adverse_event', 'group', 'secondary', 'outcome', 'generally', 'similar', 'group', 'great', 'recovery_agitation', 'observed', 'ketofol', 'group', 'respectively', 'conclusion', 'find', 'similar', 'frequency', 'airway', 'respiratory', 'adverse_event', 'lead', 'intervention', 'propofol', 'alone', 'ketofol', 'american_college', 'emergency', 'physician', 'publish', 'inc_right_reserve']","Randomized, double-blinded, clinical trial of propofol, 1:1 propofol/ketamine, and 4:1 propofol/ketamine for deep procedural sedation in the emergency department. STUDY OBJECTIVE: We compare the frequency of airway and respiratory adverse events leading to an intervention between propofol with 1:1 and 4:1 mixtures of propofol and ketamine (ketofol).

METHODS: We performed a randomized, double-blinded trial in which emergency department adults undergoing deep sedation received propofol, 1:1 propofol and ketamine, or 4:1 propofol and ketamine. Our primary outcome was the frequency of airway and respiratory adverse events leading to an intervention. Other outcomes included sedation depth, efficacy, procedure and recovery time, patient satisfaction, pain, and procedural recall.

RESULTS: Two hundred seventy-one subjects completed the trial, 90 receiving propofol, 85 receiving 1:1 propofol and ketamine, and 96 receiving 4:1 propofol and ketamine. Airway or respiratory adverse events leading to an intervention were similar between groups: 29%, 19%, and 32%, respectively (P=.21). There were no serious adverse events in any group. Secondary outcomes were generally similar between groups, with greater recovery agitation observed in the 1:1 ketofol group (8%, 21%, and 10%, respectively).

CONCLUSION: We found a similar frequency of airway and respiratory adverse events leading to intervention between propofol alone and either 1:1 or 4:1 ketofol.
Copyright © 2014 American College of Emergency Physicians. Published by Elsevier Inc. All rights reserved."
